x,y,species cloglog values
1.0,1.0,0.14899887
2.0,2.0,0.64073235
3.0,3.0,0.3748962
4.0,4.0,0.29681373
5.0,5.0,0.1810444
6.0,6.0,0.7078326
7.0,7.0,0.19456312
8.0,8.0,0.14461194
9.0,9.0,0.15156636
10.0,10.0,0.33805704
11.0,11.0,0.2501473
12.0,12.0,0.3786682
13.0,13.0,0.5822611
14.0,14.0,0.4073792
15.0,15.0,0.09256273
16.0,16.0,0.14068839
17.0,17.0,0.35578826
18.0,18.0,0.3024269
19.0,19.0,0.17080687
20.0,20.0,0.12813671
21.0,21.0,0.17755434
22.0,22.0,0.19086075
23.0,23.0,0.37839505
24.0,24.0,0.63738066
25.0,25.0,0.1951339
26.0,26.0,0.3822801
27.0,27.0,0.14314295
28.0,28.0,0.2342192
29.0,29.0,0.27720594
30.0,30.0,0.71291435
31.0,31.0,0.17629923
32.0,32.0,0.19571176
33.0,33.0,0.24816547
34.0,34.0,0.26237348
35.0,35.0,0.13449393
36.0,36.0,0.13915645
37.0,37.0,0.37237856
38.0,38.0,0.2766987
39.0,39.0,0.4773795
40.0,40.0,0.35890314
41.0,41.0,0.44438425
42.0,42.0,0.5798591
43.0,43.0,0.36254978
